Format Version,1.2,Take Name,Take 2025-02-14 10.48.41 AM,Capture Frame Rate,60,Export Frame Rate,60,Capture Start Time,2025-02-14 10.48.41.561 AM,Total Frames,1121,Rotation Type,Quaternion,Global,,
,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Arm_finger,Arm_finger,Arm_finger,Arm_hand,Arm_hand,Arm_hand,Arm_thumb,Arm_thumb,Arm_thumb,Arm_shoulder,Arm_shoulder,Arm_shoulder,Arm_elbow,Arm_elbow,Arm_elbow
,,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000000,8392B20CF49E357145CE0C9500000000,8392B20CF49E357145CE0C9500000000,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000004
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
29,0.483333,0.180498,0.305134,0.008436,0.052925,0.341751,0.023997,0.118153,0.27539,-0.035175,-0.32776,0.549631,-0.058379,-0.222757,0.344629,0.05478
30,0.5,0.180463,0.305329,0.008445,0.05286,0.341794,0.023973,0.11813,0.275448,-0.035166,-0.327819,0.549657,-0.058416,-0.222793,0.344676,0.054781
31,0.516667,0.180436,0.305525,0.008453,0.052804,0.341822,0.023943,0.118112,0.27549,-0.035168,-0.327868,0.549682,-0.058458,-0.222823,0.344717,0.054774
32,0.533333,0.180419,0.305729,0.008455,0.052755,0.341837,0.023902,0.118101,0.275523,-0.035182,-0.327908,0.549706,-0.058507,-0.222843,0.344753,0.054757
33,0.55,0.180409,0.305952,0.008447,0.052713,0.341843,0.023848,0.118096,0.275548,-0.035212,-0.327936,0.54973,-0.058566,-0.222853,0.344787,0.054729
34,0.566667,0.180408,0.306208,0.008433,0.052678,0.341844,0.023779,0.1181,0.275567,-0.035257,-0.327953,0.549755,-0.058634,-0.222854,0.34482,0.054691
35,0.583333,0.180417,0.306519,0.008419,0.05265,0.341841,0.023694,0.118111,0.275579,-0.035318,-0.32796,0.549781,-0.058712,-0.222843,0.344852,0.054642
36,0.6,0.180436,0.306913,0.008412,0.052628,0.341835,0.023592,0.11813,0.275587,-0.035393,-0.327959,0.549808,-0.058798,-0.222824,0.344885,0.054581
37,0.616667,0.180467,0.307432,0.008424,0.052609,0.341826,0.023472,0.118158,0.275594,-0.035484,-0.327952,0.549836,-0.058893,-0.222795,0.34492,0.054508
38,0.633333,0.180512,0.308122,0.008465,0.05259,0.341814,0.023336,0.118193,0.275607,-0.035589,-0.327939,0.549865,-0.058995,-0.222759,0.344954,0.054426
